84,Winning (Russ Ballard song),Santana_(band),1981,3:40
85,What Kind of Fool,"Barbra_Streisand"" title=""Barbra Streisand"">Barbra Streisand</a> &amp; <a href=""/wiki/Barry_Gibb",1981,4:06
79,Same Old Lang Syne,Dan_Fogelberg,1981,5:18
25,Angel of the Morning,Juice_Newton,1981,3:49
26,Love on the Rocks (Neil Diamond song),Neil_Diamond,1981,3:40
21,Woman (John Lennon song),John_Lennon,1981,3:32
22,Sukiyaki (song),A_Taste_of_Honey_(band),1981,3:05
23,The Winner Takes It All,ABBA,1981,4:54
46,Hit Me with Your Best Shot,Pat_Benatar,1981,2:51
47,The Breakup Song (They Don't Write 'Em),The_Greg_Kihn_Band,1981,2:56
44,I Don't Need You,Kenny_Rogers,1981,3:27
48,Time (The Alan Parsons Project song),The_Alan_Parsons_Project,1981,5:04
28,The One That You Love,Air_Supply,1981,4:17
29,Guilty (Barbra Streisand and Barry Gibb song),"Barbra_Streisand"" title=""Barbra Streisand"">Barbra Streisand</a> &amp; <a href=""/wiki/Barry_Gibb",1981,4:23
18,"Just the Two of Us (Grover Washington, Jr. song)","Grover_Washington,_Jr."" title=""Grover Washington, Jr."">Grover Washington, Jr.</a> &amp; <a href=""/wiki/Bill_Withers",1981,7:23
1,Bette Davis Eyes,Kim_Carnes,1981,3:48
3,Lady (Kenny Rogers song),Kenny_Rogers,1981,3:51
2,Endless Love (song),"Diana_Ross"" title=""Diana Ross"">Diana Ross</a> &amp; <a href=""/wiki/Lionel_Richie",1981,4:24
5,Jessie's Girl,Rick_Springfield,1981,3:14
4,(Just Like) Starting Over,John_Lennon,1981,3:56
7,Kiss on My List,Hall_%26_Oates,1981,4:25
6,Celebration (Kool &amp; the Gang song),Kool_%26_the_Gang,1981,3:57
9,9 to 5 (Dolly Parton song),Dolly_Parton,1981,2:43
8,I Love a Rainy Night,Eddie_Rabbitt,1981,3:08
49,Hungry Heart,Bruce_Springsteen,1981,3:19
34,Living Inside Myself,Gino_Vannelli,1981,3:48
15,Rapture (Blondie song),Blondie_(band),1981,6:31
98,I'm Coming Out,Diana_Ross,1981,5:24
75,Step by Step (Eddie Rabbitt song),Eddie_Rabbitt,1981,3:39
74,All Those Years Ago,George_Harrison,1981,3:42
72,Hey Nineteen,Steely_Dan,1981,5:10
71,Don't Stand So Close to Me,The_Police,1981,4:02
70,Hello Again (Neil Diamond song),Neil_Diamond,1981,4:04
91,Suddenly (Olivia Newton-John and Cliff Richard song),"Olivia_Newton-John"" title=""Olivia Newton-John"">Olivia Newton-John</a> &amp; <a href=""/wiki/Cliff_Richard",1981,3:58
90,You've Lost That Lovin' Feelin',Hall_%26_Oates,1981,3:45
93,The Beach Boys Medley,The_Beach_Boys,1981,4:05
92,For Your Eyes Only (song),Sheena_Easton,1981,3:04
95,Modern Girl (Sheena Easton song),Sheena_Easton,1981,3:35
94,Whip It (Devo song),Devo,1981,2:37
97,Seven Year Ache (song),Rosanne_Cash,1981,3:15
96,Really Wanna Know You,Gary_Wright,1981,4:15
10,Keep On Loving You (song),REO_Speedwagon,1981,3:22
39,Lady (You Bring Me Up),Commodores,1981,4:04
12,9 to 5 (Sheena Easton song),Sheena_Easton,1981,3:20
59,Stop Draggin' My Heart Around,"Stevie_Nicks"" title=""Stevie Nicks"">Stevie Nicks</a> &amp; <a href=""/wiki/Tom_Petty",1981,4:04
14,Queen of Hearts (Hank DeVito song),Juice_Newton,1981,3:23
17,The Tide Is High,Blondie_(band),1981,2:40
16,A Woman Needs Love (Just Like You Do),Raydio,1981,3:46
55,What Are We Doin' in Love,"Dottie_West"" title=""Dottie West"">Dottie West</a> &amp; <a href=""/wiki/Kenny_Rogers",1981,2:57
54,Too Much Time on My Hands,Styx_(band),1981,4:31
57,"De Do Do Do, De Da Da Da",The_Police,1981,4:05
56,Who's Crying Now,Journey_(band),1981,5:01
37,Urgent (song),Foreigner_(band),1981,3:57
62,America (Neil Diamond song),Neil_Diamond,1981,3:27
35,Woman in Love,Barbra_Streisand,1981,3:49
52,More Than I Can Say,Leo_Sayer,1981,2:38
33,(There's) No Gettin' Over Me,Ronnie_Milsap,1981,3:15
32,Take It on the Run,REO_Speedwagon,1981,4:02
31,Elvira (song),The_Oak_Ridge_Boys,1981,2:39
